,nombre,tier,gdp_pc,tcac_pc,s_gdp,s_tcac,s_vab,s_den,s_lqv,s_lqd,s_ocu,s_des,s_for,s_cal,s_bre,s_sub,s_cls,s_ter,s_esc,dim_Business,dim_Employment,dim_Potential,dim_Entrepreneurial,CCPI_M1,CCPI_M2,CCPI_M3,rank_M3,cuadrante
DE21,Oberbayern,1,75940.48349809895,0.02091909759884536,1.0,0.34865162664742266,1.0,0.7,0.40951861479318025,0.33514931396287334,0.95,0.98,0.5333333333333334,0.6250000000000002,1.0,0.7733333333333333,0.926,0.5575,0.71,0.7621629066618556,0.7720833333333335,0.8997777777777779,0.63375,0.7669435044432418,0.7072352499904951,0.7870897137770563,1,Motor consolidado
DE30,Berlin,1,41332.7416225059,0.020919086182502378,0.5851720360556867,0.34865143637503965,0.5753111111111111,0.8,0.1943212024981186,0.3744955609362389,0.6950000000000002,0.72,0.4666666666666666,0.5500000000000002,0.08855618817703714,0.7466666666666666,0.8888571428571429,0.7050000000000002,0.7974074074074075,0.5772836458854593,0.6079166666666667,0.5746933325669489,0.7512037037037038,0.6277743372056948,0.5773684404758976,0.6258541391688577,6,Motor consolidado
DE60,Hamburg,1,70121.1207512669,0.020919086182502378,1.0,0.34865143637503965,1.0,0.75,0.3592180153258224,0.35482243744955616,0.7200000000000002,0.7999999999999999,0.4666666666666666,0.5500000000000002,0.8467388544615277,0.76,0.9002857142857144,0.4525,0.6477777777777778,0.7746628590937599,0.6341666666666667,0.8356748562490807,0.550138888888889,0.698660817724599,0.6339133460230602,0.7148374269192519,3,Motor consolidado
DE11,Stuttgart,2,68754.39809065349,0.020918932942379342,1.0,0.3486488823729891,1.0,0.6333333333333333,0.36668942778902924,0.30891848264729627,0.8899999999999999,0.92,0.6000000000000002,0.5000000000000001,0.8107442808781864,0.78,0.9174285714285715,0.40500000000000014,0.6196296296296296,0.7454955539265806,0.7275,0.8360576174355859,0.5123148148148149,0.7053419965442453,0.6454841576131825,0.7198260837669253,2,Capital estancada
DE12,Karlsruhe,2,56093.5145540487,0.02091948468128324,0.9131892123121933,0.3486580780213874,0.8420444444444445,0.5833333333333334,0.28320065125517685,0.28924535916061345,0.8200000000000004,0.88,0.5333333333333334,0.45,0.47730201258075766,0.7933333333333333,0.9117142857142858,0.40500000000000014,0.6196296296296296,0.6718062670278396,0.6708333333333335,0.727449877209459,0.5123148148148149,0.6456010730963617,0.5922928376362375,0.6539962613083299,5,Motor consolidado
DE71,Darmstadt,2,66243.32805836441,0.0209192860117271,1.0,0.3486547668621184,1.0,0.6666666666666666,0.3703695982491024,0.3220338983050848,0.6899999999999996,0.8099999999999999,0.5333333333333334,0.5750000000000002,0.7446117013469555,0.7666666666666666,0.9017142857142858,0.3650000000000001,0.5959259259259261,0.7538303583821963,0.6520833333333333,0.8043308845759692,0.4804629629629631,0.6726768848136155,0.6117854366815856,0.6853393149951246,4,Motor consolidado
DEA1,Düsseldorf,2,52201.761593973,0.020919207071731005,0.8267058131994001,0.3486534511955168,0.7633777777777778,0.5333333333333333,0.25698776709288523,0.2695722356739306,0.6100000000000001,0.8099999999999999,0.4666666666666666,0.3500000000000001,0.3748071960927082,0.8133333333333334,0.9017142857142858,0.21749999999999994,0.5085185185185184,0.618017593876507,0.5591666666666666,0.6966182717134424,0.36300925925925914,0.5592029478789688,0.5110685036074504,0.5739355959150011,10,Contrapeso emergente
DEA2,Köln,2,52923.83828501778,0.020918843703835233,0.842751961889284,0.34864739506392056,0.7940222222222222,0.5666666666666667,0.26719894428491914,0.2826876513317192,0.6950000000000002,0.88,0.4666666666666666,0.40000000000000013,0.39382410664642764,0.8,0.9117142857142858,0.35999999999999993,0.592962962962963,0.6380220614605234,0.6104166666666668,0.7018461307869045,0.4764814814814815,0.6066915850988941,0.5560164417693784,0.617645465237544,7,Capital estancada
DED2,Dresden,3,41014.56039947779,0.020918475837770956,0.5781013422106176,0.3486412639628493,0.5444,0.4166666666666667,0.18402116807163624,0.22366828087167073,0.8899999999999999,0.86,0.39999999999999986,0.40000000000000013,0.08017643581383105,0.7866666666666666,0.9088571428571429,0.3550000000000001,0.5899999999999999,0.4719523182100334,0.6375,0.5919000817792135,0.4725,0.5434630999973117,0.5088770238896018,0.5531778804431905,12,Rezagada
DED5,Leipzig,3,43968.044901282046,0.02091858654355172,0.643734331139601,0.3486431090591954,1.0,0.4666666666666667,0.4006328913483357,0.2433414043583535,0.9100000000000005,0.85,0.39999999999999986,0.5000000000000001,0.15796062589943127,0.7666666666666666,0.9074285714285715,0.39749999999999996,0.6151851851851852,0.6147610267163658,0.665,0.6106852879982231,0.5063425925925926,0.5991972268267953,0.5477789536417967,0.5960739173548923,9,Rezagada
DEG0,Thüringen,3,37082.0674458227,0.020918789079730216,0.49071260990717114,0.3486464846621703,0.48117777777777776,0.36666666666666664,0.16295459873781717,0.2039951573849879,0.8549999999999999,0.9,0.3333333333333331,0.2500000000000001,0.0,0.8333333333333334,0.9145714285714286,0.19500000000000006,0.49518518518518534,0.42180088475344646,0.5845833333333332,0.5826349206349207,0.34509259259259273,0.48352793282857326,0.4534720148084708,0.4995139157818001,13,Rezagada
DE94,Weser-Ems,3,47326.83245002285,0.020918961817577353,0.7183740544449522,0.34864936362628923,0.6911111111111111,0.43333333333333335,0.23290745655735637,0.23022598870056502,0.8149999999999998,0.93,0.4666666666666666,0.3,0.24641904475647958,0.8266666666666667,0.9188571428571429,0.19749999999999993,0.49666666666666676,0.5478669656289215,0.6279166666666666,0.663980951426763,0.34708333333333335,0.5467119792639211,0.5053800418147635,0.5601265920817101,11,Contrapeso emergente
DE13,Freiburg,3,47605.06503713532,0.020918520838204113,0.7245570008252293,0.34864201397006855,0.6711777777777778,0.55,0.226265378282335,0.2761299435028249,0.9350000000000005,0.9700000000000001,0.5333333333333334,0.47500000000000003,0.2537466933121919,0.7866666666666666,0.9245714285714286,0.33,0.5751851851851851,0.5735941981432688,0.7283333333333336,0.6549949295167624,0.45259259259259255,0.6023787633964893,0.5574548598969508,0.6068519163430102,8,Rezagada
