year,rm_pibpc,mean_tier2_pibpc,mean_tier3_pibpc,rm_share_pct,tier2_share_pct,tier3_share_pct,cv_regional,national_gdp_total
2013,8125846.0524563035,10786906.935692346,4566824.58831774,46.85681818420712,25.431702209909417,13.861844458076828,0.6094185190766319,123676.11
2014,8572953.220332393,11522947.213489732,5076502.714235272,46.40050563937291,25.380274052812897,14.405431881010331,0.5989006701219198,133075.08000000002
2015,9257948.826292757,11490321.62076287,5568468.860055544,47.282903775590476,24.73697514559562,14.940459983312394,0.5338769938193751,142536.91
2016,9783025.570687529,11527147.623766841,6011488.95946593,47.52490702506715,23.990452872859176,15.273979582890636,0.48808638835586826,151702.18
2017,9994005.61216404,12593455.180268725,6357296.097848946,46.56177501127717,24.459424830128878,15.30838643066199,0.5224348455450264,161166.3
2018,10298251.656423543,13024788.935952986,6673476.04291147,46.66356738243152,24.410898735172026,15.422070511677202,0.5141472427685118,169996.24
2019,10378700.522880094,12892225.590303252,6912787.910775235,46.65427656023763,24.041529667963133,15.566072159260479,0.4893144717489605,176081.34999999998
2020,9797148.874496128,14602958.43485336,7197561.299238717,43.824928739966694,25.834312480930436,15.900294421451774,0.578464063134217,181637.58000000002
2021,11140909.527120486,18226900.547228362,8186216.922573326,42.748739326721655,26.685665487732358,15.40715876024662,0.6581356134792691,214809.82
2022,12029694.678752841,20938723.500707008,8833757.992142169,42.428824946563246,27.675481911075693,15.237181853092782,0.6920268961124787,235638.39
2023,13043198.103345089,21282937.704129744,9631928.992599223,42.996283108706265,26.90524853702595,15.534294356889685,0.6289616958241152,253842.2737175852
