geo,year,pop
DE11,2014,3972881
DE11,2015,4008288
DE11,2016,4069533
DE11,2017,4098278
DE11,2018,4126688
DE11,2019,4143418
DE11,2020,4154223
DE11,2021,4151094
DE11,2022,4150949
DE11,2023,4142738
DE11,2024,4164699
DE11,2025,4167550
DE12,2014,2702831
DE12,2015,2721266
DE12,2016,2761977
DE12,2017,2779314
DE12,2018,2795783
DE12,2019,2805129
DE12,2020,2810854
DE12,2021,2807601
DE12,2022,2812482
DE12,2023,2832121
DE12,2024,2844407
DE12,2025,2848413
DE13,2014,2174500
DE13,2015,2191622
DE13,2016,2224535
DE13,2017,2239734
DE13,2018,2254674
DE13,2019,2264469
DE13,2020,2271351
DE13,2021,2276924
DE13,2022,2285156
DE13,2023,2304974
DE13,2024,2320772
DE13,2025,2325856
DE21,2014,4469342
DE21,2015,4519979
DE21,2016,4588944
DE21,2017,4633323
DE21,2018,4649534
DE21,2019,4686163
DE21,2020,4710865
DE21,2021,4719716
DE21,2022,4729243
DE21,2023,4705040
DE21,2024,4726101
DE21,2025,4764548
DE30,2014,3421829
DE30,2015,3469849
DE30,2016,3520031
DE30,2017,3574830
DE30,2018,3613495
DE30,2019,3644826
DE30,2020,3669491
DE30,2021,3664088
DE30,2022,3677472
DE30,2023,3632853
DE30,2024,3662381
DE30,2025,3685265
DE60,2014,1746342
DE60,2015,1762791
DE60,2016,1787408
DE60,2017,1810438
DE60,2018,1830584
DE60,2019,1841179
DE60,2020,1847253
DE60,2021,1852478
DE60,2022,1853935
DE60,2023,1832675
DE60,2024,1851596
DE60,2025,1862565
DE71,2014,3822479
DE71,2015,3863818
DE71,2016,3922369
DE71,2017,3951234
DE71,2018,3978050
DE71,2019,3998724
DE71,2020,4019961
DE71,2021,4026618
DE71,2022,4026564
DE71,2023,4001146
DE71,2024,4024030
DE71,2025,4039611
DE94,2014,2446345
DE94,2015,2460857
DE94,2016,2496176
DE94,2017,2506155
DE94,2018,2516457
DE94,2019,2525333
DE94,2020,2533993
DE94,2021,2542666
DE94,2022,2554217
DE94,2023,2559680
DE94,2024,2570052
DE94,2025,2569485
DEA1,2014,5088748
DEA1,2015,5108290
DEA1,2016,5173623
DEA1,2017,5190790
DEA1,2018,5198820
DEA1,2019,5202321
DEA1,2020,5207457
DEA1,2021,5200090
DEA1,2022,5197679
DEA1,2023,5222540
DEA1,2024,5238909
DEA1,2025,5244379
DEA2,2014,4333015
DEA2,2015,4361724
DEA2,2016,4422371
DEA2,2017,4439416
DEA2,2018,4454228
DEA2,2019,4468904
DEA2,2020,4478847
DEA2,2021,4475530
DEA2,2022,4472956
DEA2,2023,4461422
DEA2,2024,4478118
DEA2,2025,4486282
DED2,2014,1590927
DED2,2015,1592765
DED2,2016,1602754
DED2,2017,1600155
DED2,2018,1598573
DED2,2019,1598199
DED2,2020,1596566
DED2,2021,1589888
DED2,2022,1583267
DED2,2023,1588724
DED2,2024,1589143
DED2,2025,1584687
DED5,2014,986504
DED5,2015,999168
DED5,2016,1016485
DED5,2017,1027484
DED5,2018,1037782
DED5,2019,1043293
DED5,2020,1049025
DED5,2021,1053323
DED5,2022,1057609
DED5,2023,1063971
DED5,2024,1069497
DED5,2025,1071399
DEG0,2014,2160840
DEG0,2015,2156759
DEG0,2016,2170714
DEG0,2017,2158128
DEG0,2018,2151205
DEG0,2019,2143145
DEG0,2020,2133378
DEG0,2021,2120237
DEG0,2022,2108863
DEG0,2023,2118830
DEG0,2024,2114870
DEG0,2025,2100277
